file_path,module,const_name,value_repr,line_number
script/extract_data/find_classes.py,script.extract_data.find_classes,SCRIPT_DIR,os.path.dirname(os.path.abspath(__file__)),11
script/extract_data/find_classes.py,script.extract_data.find_classes,PROJECT_ROOT,os.path.dirname(os.path.dirname(SCRIPT_DIR)),12
script/extract_data/find_classes.py,script.extract_data.find_classes,DATA_DIR,"os.path.join(PROJECT_ROOT, 'data', 'rs2zig')",13
script/extract_data/find_classes.py,script.extract_data.find_classes,OUTPUT_CSV,"os.path.join(DATA_DIR, 'class.csv')",14
script/extract_data/find_classes.py,script.extract_data.find_classes,EXCLUDE_DIRS,"{'.git', 'venv', '.venv', '__pycache__', 'data', '.agents', '.mypy_cache', '.pytest_cache', '.ruff_c",16
script/extract_data/find_consts.py,script.extract_data.find_consts,SCRIPT_DIR,os.path.dirname(os.path.abspath(__file__)),11
script/extract_data/find_consts.py,script.extract_data.find_consts,PROJECT_ROOT,os.path.dirname(os.path.dirname(SCRIPT_DIR)),12
script/extract_data/find_consts.py,script.extract_data.find_consts,DATA_DIR,"os.path.join(PROJECT_ROOT, 'data', 'rs2zig')",13
script/extract_data/find_consts.py,script.extract_data.find_consts,OUTPUT_CSV,"os.path.join(DATA_DIR, 'const.csv')",14
script/extract_data/find_consts.py,script.extract_data.find_consts,EXCLUDE_DIRS,"{'.git', 'venv', '.venv', '__pycache__', 'data', '.agents', '.mypy_cache', '.pytest_cache', '.ruff_c",16
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,SCRIPT_DIR,os.path.dirname(os.path.abspath(__file__)),11
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,PROJECT_ROOT,os.path.dirname(os.path.dirname(SCRIPT_DIR)),12
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,DATA_DIR,"os.path.join(PROJECT_ROOT, 'data', 'rs2zig')",13
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,OUTPUT_CSV,"os.path.join(DATA_DIR, 'dependency.csv')",14
script/extract_data/find_files.py,script.extract_data.find_files,SCRIPT_DIR,os.path.dirname(os.path.abspath(__file__)),10
script/extract_data/find_files.py,script.extract_data.find_files,PROJECT_ROOT,os.path.dirname(os.path.dirname(SCRIPT_DIR)),11
script/extract_data/find_files.py,script.extract_data.find_files,DATA_DIR,"os.path.join(PROJECT_ROOT, 'data', 'rs2zig')",12
script/extract_data/find_files.py,script.extract_data.find_files,OUTPUT_CSV,"os.path.join(DATA_DIR, 'file.csv')",13
script/extract_data/find_files.py,script.extract_data.find_files,EXCLUDE_DIRS,"{'.git', 'venv', '.venv', '__pycache__', 'data', '.agents', '.mypy_cache', '.pytest_cache', '.ruff_c",15
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,SCRIPT_DIR,os.path.dirname(os.path.abspath(__file__)),11
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,PROJECT_ROOT,os.path.dirname(os.path.dirname(SCRIPT_DIR)),12
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,DATA_DIR,"os.path.join(PROJECT_ROOT, 'data', 'rs2zig')",13
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,FIX_DIR,"os.path.join(PROJECT_ROOT, 'data', 'fix')",14
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,OUTPUT_CSV,"os.path.join(DATA_DIR, 'fix_roadmap.csv')",15
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,EXCLUDE_DIRS,"{'.git', 'venv', '.venv', '__pycache__', 'data', '.agents', '.mypy_cache', '.pytest_cache', '.ruff_c",17
script/extract_data/find_functions.py,script.extract_data.find_functions,SCRIPT_DIR,os.path.dirname(os.path.abspath(__file__)),11
script/extract_data/find_functions.py,script.extract_data.find_functions,PROJECT_ROOT,os.path.dirname(os.path.dirname(SCRIPT_DIR)),12
script/extract_data/find_functions.py,script.extract_data.find_functions,DATA_DIR,"os.path.join(PROJECT_ROOT, 'data', 'rs2zig')",13
script/extract_data/find_functions.py,script.extract_data.find_functions,OUTPUT_CSV,"os.path.join(DATA_DIR, 'function.csv')",14
script/extract_data/find_functions.py,script.extract_data.find_functions,EXCLUDE_DIRS,"{'.git', 'venv', '.venv', '__pycache__', 'data', '.agents', '.mypy_cache', '.pytest_cache', '.ruff_c",16
script/extract_data/find_imports.py,script.extract_data.find_imports,SCRIPT_DIR,os.path.dirname(os.path.abspath(__file__)),11
