file_path,module,line_count,size_bytes
script/extract_data/find_classes.py,script.extract_data.find_classes,118,3999
script/extract_data/find_consts.py,script.extract_data.find_consts,104,3892
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,82,3115
script/extract_data/find_files.py,script.extract_data.find_files,68,2306
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,86,3610
script/extract_data/find_functions.py,script.extract_data.find_functions,182,6221
script/extract_data/find_imports.py,script.extract_data.find_imports,94,3456
script/rs2zig_query.py,script.rs2zig_query,279,12364
src/main.py,src.main,22,431
src/rs2zig/__init__.py,src.rs2zig,7,132
src/rs2zig/backend/__init__.py,src.rs2zig.backend,5,101
src/rs2zig/backend/build_zig_gen.py,src.rs2zig.backend.build_zig_gen,43,1128
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,348,12790
src/rs2zig/cli.py,src.rs2zig.cli,151,5262
src/rs2zig/frontend/__init__.py,src.rs2zig.frontend,5,126
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,499,20166
src/rs2zig/frontend/macro_expand.py,src.rs2zig.frontend.macro_expand,67,2380
src/rs2zig/frontend/ts_parser.py,src.rs2zig.frontend.ts_parser,58,1909
src/rs2zig/ir/__init__.py,src.rs2zig.ir,3,60
src/rs2zig/ir/nodes.py,src.rs2zig.ir.nodes,267,6368
src/rs2zig/lowering/__init__.py,src.rs2zig.lowering,5,142
src/rs2zig/lowering/control_flow.py,src.rs2zig.lowering.control_flow,100,3005
src/rs2zig/lowering/enum_lowering.py,src.rs2zig.lowering.enum_lowering,53,1464
src/rs2zig/lowering/ownership_pass.py,src.rs2zig.lowering.ownership_pass,104,4054
src/rs2zig/lowering/stdlib_map.py,src.rs2zig.lowering.stdlib_map,62,1523
src/rs2zig/validate/__init__.py,src.rs2zig.validate,5,171
src/rs2zig/validate/zig_fmt_check.py,src.rs2zig.validate.zig_fmt_check,98,3316
tests/test_golden.py,tests.test_golden,61,2191
