file_path,module,function_name,args,return_type,is_async,is_method,decorators,docstring,start_line,end_line
script/convert_all_vendor.py,script.convert_all_vendor,main,(),None,False,False,,Execute multithreaded batch transpilation across all vendored dependency crates.,27,85
script/extract_data/find_classes.py,script.extract_data.find_classes,get_module_path,(rel_path: str),str,False,False,,Convert relative file path into a Python module dot-notation path.,21,30
script/extract_data/find_classes.py,script.extract_data.find_classes,ClassVisitor.__init__,"(self, rel_path: str, module: str)",,False,True,,,34,37
script/extract_data/find_classes.py,script.extract_data.find_classes,ClassVisitor.visit_ClassDef,"(self, node: ast.ClassDef)",None,False,True,,Extract metadata from class definition node.,39,75
script/extract_data/find_classes.py,script.extract_data.find_classes,process_file,"(abs_path: str, rel_path: str)",list,False,False,,Parse single Python file AST and extract all class definitions.,77,88
script/extract_data/find_classes.py,script.extract_data.find_classes,main,(),None,False,False,,Main extraction routine for Python class definitions metadata.,90,115
script/extract_data/find_consts.py,script.extract_data.find_consts,get_module_path,(rel_path: str),str,False,False,,Convert relative file path into a Python module dot-notation path.,21,30
script/extract_data/find_consts.py,script.extract_data.find_consts,process_file,"(abs_path: str, rel_path: str)",list,False,False,,Parse module-level assignments and constant definitions using AST.,32,77
script/extract_data/find_consts.py,script.extract_data.find_consts,main,(),None,False,False,,Main extraction routine for module-level constants and variables.,79,101
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,parse_requirements_txt,(filepath: str),list,False,False,,Parse standard requirements.txt file for dependency packages and versions.,16,31
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,parse_pyproject_toml,(filepath: str),list,False,False,,Parse pyproject.toml file for project dependencies.,33,55
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,main,(),None,False,False,,Main extraction routine for Python project package dependencies.,57,79
script/extract_data/find_files.py,script.extract_data.find_files,get_module_path,(rel_path: str),str,False,False,,Convert relative file path into a Python module dot-notation path.,20,29
script/extract_data/find_files.py,script.extract_data.find_files,main,(),None,False,False,,Main extraction routine for Python file metadata.,31,65
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,scan_fix_dir,(),list,False,False,,Scan data/fix/*.txt for roadmap items and task backlogs.,22,41
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,scan_todo_comments,(),list,False,False,,"Scan Python source files for inline TODO, FIXME, FIX, or HACK comments.",43,68
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,main,(),None,False,False,,Main extraction routine for roadmap tasks and TODO comments.,70,83
script/extract_data/find_functions.py,script.extract_data.find_functions,get_module_path,(rel_path: str),str,False,False,,Convert relative file path into a Python module dot-notation path.,21,30
script/extract_data/find_functions.py,script.extract_data.find_functions,format_arg,"(arg: ast.arg, default_val = None)",str,False,False,,Format single AST argument node with type annotation and default value.,32,45
script/extract_data/find_functions.py,script.extract_data.find_functions,build_args_sig,(node: ast.FunctionDef),str,False,False,,Format complete AST function arguments signature string.,47,69
script/extract_data/find_functions.py,script.extract_data.find_functions,FunctionVisitor.__init__,"(self, rel_path: str, module: str)",,False,True,,,73,77
script/extract_data/find_functions.py,script.extract_data.find_functions,FunctionVisitor.visit_ClassDef,"(self, node: ast.ClassDef)",None,False,True,,Track current enclosing class hierarchy when visiting class nodes.,79,83
script/extract_data/find_functions.py,script.extract_data.find_functions,FunctionVisitor._visit_func,"(self, node, is_async: bool = False)",None,False,True,,Extract metadata details from FunctionDef or AsyncFunctionDef nodes.,85,131
script/extract_data/find_functions.py,script.extract_data.find_functions,FunctionVisitor.visit_FunctionDef,"(self, node: ast.FunctionDef)",None,False,True,,Visit standard synchronous function definition.,133,135
script/extract_data/find_functions.py,script.extract_data.find_functions,FunctionVisitor.visit_AsyncFunctionDef,"(self, node: ast.AsyncFunctionDef)",None,False,True,,Visit asynchronous function definition.,137,139
script/extract_data/find_functions.py,script.extract_data.find_functions,process_file,"(abs_path: str, rel_path: str)",list,False,False,,Parse single Python file AST and extract all functions and methods.,141,152
script/extract_data/find_functions.py,script.extract_data.find_functions,main,(),None,False,False,,Main extraction routine for Python functions and methods metadata.,154,179
script/extract_data/find_imports.py,script.extract_data.find_imports,get_module_path,(rel_path: str),str,False,False,,Convert relative file path into a Python module dot-notation path.,21,30
script/extract_data/find_imports.py,script.extract_data.find_imports,process_file,"(abs_path: str, rel_path: str)",list,False,False,,Parse single Python file AST to extract all import and import-from statements.,32,67
script/extract_data/find_imports.py,script.extract_data.find_imports,main,(),None,False,False,,Main extraction routine for Python module imports metadata.,69,91
script/rs2zig_query.py,script.rs2zig_query,print_banner,(title: str),None,False,False,,Print formatted section header banner.,31,35
script/rs2zig_query.py,script.rs2zig_query,cmd_rules,(),None,False,False,,Display raw AGENTS.md rules document.,37,44
script/rs2zig_query.py,script.rs2zig_query,cmd_summary,(),None,False,False,,Display summary count of items across all CSV metadata catalogs.,46,68
script/rs2zig_query.py,script.rs2zig_query,cmd_search,(args_list: list),None,False,False,,Search knowledge graph CSV catalogs matching terms and filters.,70,190
script/rs2zig_query.py,script.rs2zig_query,row_matches,(row_text: str),bool,False,False,,Check if row content matches compiled search patterns.,131,140
script/rs2zig_query.py,script.rs2zig_query,cmd_audit,(),None,False,False,,"Audit project code for rule compliance (file size, docstrings, type hints).",192,237
script/rs2zig_query.py,script.rs2zig_query,cmd_sync,(),None,False,False,,Execute metadata extraction shell script to sync CSVs.,239,249
script/rs2zig_query.py,script.rs2zig_query,main,(),None,False,False,,Main CLI entry point.,251,276
src/main.py,src.main,main,(),None,False,False,,Main application entry point.,17,19
src/rs2zig/backend/build_zig_gen.py,src.rs2zig.backend.build_zig_gen,generate_build_zig,"(executable_name: str = 'app', main_src: str = 'main.zig', dependencies: Optional[List[str]] = None, target_wasm: bool = False)",str,False,False,,Generate content for a build.zig script targeting Zig 0.16.0.,13,70
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter.__init__,"(self, indent_str: str = '    ')",None,False,True,,Initialize emitter with specified indentation.,66,75
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter.emit_source_file,"(self, sf: SourceFile, file_path: Optional[str] = None)",str,False,True,,Emit complete Zig source file string from SourceFile node.,77,151
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._indent,(self),str,False,True,,Get current indentation string.,153,155
