file_path,module,imported_module,imported_symbol,alias,line_number
script/extract_data/find_classes.py,script.extract_data.find_classes,os,,,7
script/extract_data/find_classes.py,script.extract_data.find_classes,csv,,,8
script/extract_data/find_classes.py,script.extract_data.find_classes,ast,,,9
script/extract_data/find_consts.py,script.extract_data.find_consts,os,,,7
script/extract_data/find_consts.py,script.extract_data.find_consts,csv,,,8
script/extract_data/find_consts.py,script.extract_data.find_consts,ast,,,9
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,os,,,7
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,csv,,,8
script/extract_data/find_dependencies.py,script.extract_data.find_dependencies,re,,,9
script/extract_data/find_files.py,script.extract_data.find_files,os,,,7
script/extract_data/find_files.py,script.extract_data.find_files,csv,,,8
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,os,,,7
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,csv,,,8
script/extract_data/find_fix_roadmap.py,script.extract_data.find_fix_roadmap,re,,,9
script/extract_data/find_functions.py,script.extract_data.find_functions,os,,,7
script/extract_data/find_functions.py,script.extract_data.find_functions,csv,,,8
script/extract_data/find_functions.py,script.extract_data.find_functions,ast,,,9
script/extract_data/find_imports.py,script.extract_data.find_imports,os,,,7
script/extract_data/find_imports.py,script.extract_data.find_imports,csv,,,8
script/extract_data/find_imports.py,script.extract_data.find_imports,ast,,,9
script/rs2zig_query.py,script.rs2zig_query,sys,,,8
script/rs2zig_query.py,script.rs2zig_query,os,,,9
script/rs2zig_query.py,script.rs2zig_query,csv,,,10
script/rs2zig_query.py,script.rs2zig_query,re,,,11
script/rs2zig_query.py,script.rs2zig_query,argparse,,,12
script/rs2zig_query.py,script.rs2zig_query,subprocess,,,13
src/main.py,src.main,sys,,,7
src/main.py,src.main,logging,,,8
src/main.py,src.main,rs2zig.cli,main,cli_main,9
src/rs2zig/backend/build_zig_gen.py,src.rs2zig.backend.build_zig_gen,logging,,,7
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,logging,,,7
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,typing,List,,8
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,typing,Optional,,8
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,SourceFile,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,StructDecl,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,ImplBlock,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,FnDecl,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,Param,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,BlockExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,Stmt,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,LetStmt,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,AssignStmt,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,ExprStmt,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,Expr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,LiteralExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,IdentifierExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,BinaryExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,UnaryExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,CallExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,FieldAccessExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,StructInitExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,MacroCallExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,ReturnExpr,,9
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,rs2zig.ir.nodes,IfExpr,,9
